gene	consensus_z	consensus_p	consensus_fdr	n_primary_endpoints	n_positive_endpoint_z	n_negative_endpoint_z	mean_abs_endpoint_z	direction_in_chk1i_sensitive_state	abs_consensus_z
NUCKS1	2.973270868564226	0.002946443047401428	0.018681221977304048	3	3	0	1.7166187363392282	higher_in_sensitive	2.973270868564226
MMP1	2.9732658415235447	0.002946491308848664	0.018681221977304048	3	3	0	1.7166158339759374	higher_in_sensitive	2.9732658415235447
ERBB3	-2.9731429313774647	0.0029476715160993475	0.01868253475274852	3	0	3	1.7165448717700122	lower_in_sensitive	2.9731429313774647
PKM	2.9730283615778568	0.002948772026157781	0.018683341702368673	3	3	0	1.7164787248653675	higher_in_sensitive	2.9730283615778568
HDAC5	-2.972848781409912	0.0029504977533273843	0.018688108171685622	3	0	3	1.7163750442070633	lower_in_sensitive	2.972848781409912
ASB1	2.972557997216819	0.0029532940819262683	0.018699650324808872	3	3	0	1.7162071598749051	higher_in_sensitive	2.972557997216819
AP3S1	2.9724473449236672	0.0029543588056777626	0.01870011722070772	3	3	0	1.7161432747436676	higher_in_sensitive	2.9724473449236672
MTCP1	2.972254622120103	0.002956214068520844	0.01870011722070772	3	3	0	1.7160320061811507	higher_in_sensitive	2.972254622120103
MOSMO	2.972246734921605	0.002956290017962701	0.01870011722070772	3	3	0	1.716027452504975	higher_in_sensitive	2.972246734921605
TMEM151B	-2.9713407371249487	0.0029650261434611557	0.01874920023128039	3	1	2	1.9973492081880757	lower_in_sensitive	2.9713407371249487
HAUS7	2.970701575694891	0.002971203450834002	0.018777557296895484	3	3	0	1.7151353544094905	higher_in_sensitive	2.970701575694891
TBC1D19	-2.9706743571132375	0.002971466770911995	0.018777557296895484	3	0	3	1.715119639754046	lower_in_sensitive	2.9706743571132375
BPIFB2	-2.970260888471892	0.002975469400045225	0.018796663883536766	3	1	2	2.4843658396578165	lower_in_sensitive	2.970260888471892
DCPS	-2.9700198677267995	0.0029778048971060614	0.01880522974165861	3	0	3	1.7147417701306045	lower_in_sensitive	2.9700198677267995
GHDC	-2.969746939073484	0.002980451601853252	0.018815754637414906	3	0	3	1.7145841946991431	lower_in_sensitive	2.969746939073484
SNRPB	2.9692473637138104	0.002985301756156333	0.018833634543819026	3	3	0	1.714295764730755	higher_in_sensitive	2.9692473637138104
OR5H8	-2.9692093787045324	0.0029856708300787893	0.018833634543819026	3	0	3	1.714273834075423	lower_in_sensitive	2.9692093787045324
ZNF385C	-2.9691521587406253	0.0029862268752674816	0.018833634543819026	3	0	3	1.7142407981138585	lower_in_sensitive	2.9691521587406253
MARCKS	-2.9689594902363856	0.002988099860487788	0.01883925816802777	3	0	3	1.7141295609010712	lower_in_sensitive	2.9689594902363856
ZNF721	-2.968059959136224	0.0029968586485445777	0.018888277194602364	3	0	3	1.7136102163782485	lower_in_sensitive	2.968059959136224
AFMID	-2.9676518805934538	0.003000839851340463	0.01890199814023067	3	0	3	1.7133746121217295	lower_in_sensitive	2.9676518805934538
LRRC10	-2.9676349828299378	0.003001004809429268	0.01890199814023067	3	0	3	1.713364856193415	lower_in_sensitive	2.9676349828299378
CCBE1	2.9672470177005903	0.0030047944497562174	0.018919660166093758	3	3	0	1.7131408644215498	higher_in_sensitive	2.9672470177005903
SLA	2.9663371904440985	0.0030136987646209694	0.01896950455186668	3	3	0	1.7126155754100985	higher_in_sensitive	2.9663371904440985
SYNE2	-2.96623628728251	0.003014687766945307	0.018969510242483122	3	0	3	1.7125573189425933	lower_in_sensitive	2.96623628728251
LIMD2	2.965567610748297	0.0030212492853730543	0.019004568735449506	3	3	0	1.7121712583655644	higher_in_sensitive	2.965567610748297
KRTAP12-2	-2.9645813499303975	0.003030950940154527	0.019059350196228828	3	0	3	1.711601840416859	lower_in_sensitive	2.9645813499303975
TTLL4	2.9641906516370233	0.0030348020144609056	0.019077317967786663	3	2	1	1.9231604299917138	higher_in_sensitive	2.9641906516370233
SLC27A1	2.96403743466381	0.0030363134768729575	0.019079544676377003	3	3	0	1.7112878107912783	higher_in_sensitive	2.96403743466381
GP9	-2.963953284586318	0.003037143896812591	0.019079544676377003	3	0	3	1.7112392267213863	lower_in_sensitive	2.963953284586318
GYPA	-2.96371502714008	0.0030394962213637832	0.019088076041132454	3	0	3	1.7111016687206642	lower_in_sensitive	2.96371502714008
MPEG1	2.9635187459956938	0.0030414353605889635	0.01909400786546335	3	3	0	1.710988345749116	higher_in_sensitive	2.9635187459956938
FLNA	2.962907533829202	0.0030474809975943877	0.019120396612758182	3	3	0	1.71063546224026	higher_in_sensitive	2.962907533829202
ACTL6B	-2.962892415854462	0.003047630671686636	0.019120396612758182	3	1	2	1.7882313955072948	lower_in_sensitive	2.962892415854462
WSCD1	-2.961707040787269	0.0030593872598504252	0.019187885205687184	3	0	3	1.7099423572593395	lower_in_sensitive	2.961707040787269
IL10	2.9608976562625875	0.003067438508349854	0.019232098133017798	3	3	0	1.709475058886137	higher_in_sensitive	2.9608976562625875
ICOSLG	-2.9606602325921676	0.0030698039124419834	0.01924064495953679	3	0	3	1.709337982266108	lower_in_sensitive	2.9606602325921676
TMC3	-2.9602971583824895	0.003073424364458672	0.019249037307200748	3	0	3	1.7091283612734145	lower_in_sensitive	2.9602971583824895
AKAIN1	-2.9602503174332178	0.003073891729876115	0.019249037307200748	3	0	3	1.7091013176387433	lower_in_sensitive	2.9602503174332178
AURKA	2.9602243484247164	0.003074150869042478	0.019249037307200748	3	3	0	1.7090863244246943	higher_in_sensitive	2.9602243484247164
TMEM229A	-2.960030299815185	0.003076087869197209	0.019254885853553314	3	0	3	1.7089742904077454	lower_in_sensitive	2.960030299815185
ALPK1	2.959364676508438	0.0030827406044408225	0.019290239284242148	3	3	0	1.7085899926124164	higher_in_sensitive	2.959364676508438
RPS18	2.95893382485342	0.003087053848946316	0.01931093509028067	3	3	0	1.7083412402934108	higher_in_sensitive	2.95893382485342
HNRNPA3	2.958180671385049	0.003094606867952401	0.019351877085000063	3	3	0	1.7079064069357057	higher_in_sensitive	2.958180671385049
STOML3	-2.957438088468821	0.0031020703733592335	0.019392232832220958	3	0	3	1.707477676489126	lower_in_sensitive	2.957438088468821
NAE1	2.9569503196410554	0.003106981736476518	0.01941661307841022	3	3	0	1.707196063025113	higher_in_sensitive	2.9569503196410554
KDM4B	-2.9564475275393804	0.003112051789290142	0.01944196884178072	3	1	2	1.8349275077998088	lower_in_sensitive	2.9564475275393804
ALKAL2	2.955892062950963	0.003117661749784525	0.019470679984503355	3	3	0	1.7065850782402165	higher_in_sensitive	2.955892062950963
ZNF155	-2.9554141853976414	0.003122495490101956	0.019494526315114585	3	0	3	1.7063091755061668	lower_in_sensitive	2.9554141853976414
XRCC4	2.954748834866345	0.0031292369023864634	0.01952943961971166	3	3	0	1.705925035197817	higher_in_sensitive	2.954748834866345
CDY1	-2.9546615580789872	0.0031301221851157816	0.01952943961971166	3	0	3	1.7058746459211422	lower_in_sensitive	2.9546615580789872
WDR75	2.954003317984621	0.0031368063311545034	0.019562475054294575	3	3	0	1.7054946108254685	higher_in_sensitive	2.954003317984621
KCTD17	2.953939508616569	0.0031374549792776846	0.019562475054294575	3	3	0	1.705457770469647	higher_in_sensitive	2.953939508616569
CLSPN	2.953076728001804	0.0031462375067294176	0.019609053236203915	3	3	0	1.7049596438494607	higher_in_sensitive	2.953076728001804
RLN2	-2.952823983348619	0.0031488145184233795	0.019609053236203915	3	0	3	1.704813721655908	lower_in_sensitive	2.952823983348619
PPP2R5B	-2.952769621801565	0.0031493690459772484	0.019609053236203915	3	0	3	1.7047823360020828	lower_in_sensitive	2.952769621801565
ERBB2	-2.952649178100891	0.003150597976971556	0.019609053236203915	3	0	3	1.7047127977990766	lower_in_sensitive	2.952649178100891
SFTPA2	-2.95264734094929	0.0031506167254834435	0.019609053236203915	3	0	3	1.7047117371191052	lower_in_sensitive	2.95264734094929
ABHD12	-2.9526045234539007	0.0031510537156833568	0.019609053236203915	3	1	2	2.0853870998455544	lower_in_sensitive	2.9526045234539007
ADRA2C	-2.951982438963578	0.003157408870668337	0.019642234445589997	3	0	3	1.7043278557786696	lower_in_sensitive	2.951982438963578
STX7	-2.951747803158245	0.0031598089201777396	0.019650182698694993	3	0	3	1.704192388733299	lower_in_sensitive	2.951747803158245
DTNA	-2.951657444473508	0.0031607336271262704	0.019650182698694993	3	0	3	1.7041402201223426	lower_in_sensitive	2.951657444473508
LMX1A	-2.951467245240752	0.0031626808820267205	0.0196559234616863	3	0	3	1.7040304085441116	lower_in_sensitive	2.951467245240752
TPPP	-2.9510858566525764	0.0031665888237653508	0.019673842148429516	3	0	3	1.7038102137400621	lower_in_sensitive	2.9510858566525764
NAALADL2	-2.9505263760990315	0.003172329569667267	0.01969493156214555	3	0	3	1.7034871974918666	lower_in_sensitive	2.9505263760990315
GNAS	-2.9505220271778363	0.003172374230424751	0.01969493156214555	3	0	3	1.703484686641044	lower_in_sensitive	2.9505220271778363
SRP14	-2.9504551676936104	0.0031730609085173556	0.01969493156214555	3	0	3	1.7034460852998283	lower_in_sensitive	2.9504551676936104
